source,target,category
Alan Hodgkin,Europe,Medicine
Andrew Huxley,Medicine,Medicine
Andrew Huxley,Europe,Medicine
Karl Ziegler,Chemistry,Chemistry
Karl Ziegler,Europe,Chemistry
J. Hans D. Jensen,Physics,Physics
J. Hans D. Jensen,Europe,Physics
Maria Goeppert Mayer,Physics,Physics
Maria Goeppert Mayer,North America,Physics
Sir John Eccles,Medicine,Medicine
Sir John Eccles,Australia,Medicine
Dorothy Crowfoot Hodgkin,Chemistry,Chemistry
Dorothy Crowfoot Hodgkin,Europe,Chemistry
Nicolay G. Basov,Physics,Physics
Nicolay G. Basov,Russia,Physics
Konrad Bloch,Medicine,Medicine
Konrad Bloch,North America,Medicine
Jean-Paul Sartre,Literature,Literature
Jean-Paul Sartre,,Literature
Charles H. Townes,Physics,Physics
Charles H. Townes,North America,Physics
Feodor Lynen,Medicine,Medicine
Feodor Lynen,Europe,Medicine
Aleksandr M. Prokhorov,Physics,Physics
Aleksandr M. Prokhorov,Russia,Physics
Martin Luther King Jr.,Peace,Peace
Martin Luther King Jr.,,Peace
Jacques Monod,Medicine,Medicine
Jacques Monod,Europe,Medicine
Sin-Itiro Tomonaga,Physics,Physics
Sin-Itiro Tomonaga,Japan,Physics
Julian Schwinger,Physics,Physics
Julian Schwinger,North America,Physics
Mikhail Sholokhov,Literature,Literature
Mikhail Sholokhov,,Literature
André Lwoff,Medicine,Medicine
André Lwoff,Europe,Medicine
Richard P. Feynman,Physics,Physics
Richard P. Feynman,North America,Physics
Robert B. Woodward,Chemistry,Chemistry
Robert B. Woodward,North America,Chemistry
François Jacob,Medicine,Medicine
François Jacob,Europe,Medicine
Shmuel Agnon,Literature,Literature
Shmuel Agnon,,Literature
Charles B. Huggins,Medicine,Medicine
Charles B. Huggins,North America,Medicine
Peyton Rous,Medicine,Medicine
Peyton Rous,North America,Medicine
Alfred Kastler,Physics,Physics
Alfred Kastler,Europe,Physics
Robert S. Mulliken,Chemistry,Chemistry
Robert S. Mulliken,North America,Chemistry
Nelly Sachs,Literature,Literature
Nelly Sachs,,Literature
Hans Bethe,Physics,Physics
Hans Bethe,North America,Physics
Miguel Angel Asturias,Literature,Literature
Miguel Angel Asturias,,Literature
Ronald G.W. Norrish,Chemistry,Chemistry
Ronald G.W. Norrish,Europe,Chemistry
Ragnar Granit,Medicine,Medicine
Ragnar Granit,Europe,Medicine
Keffer Hartline,Medicine,Medicine
Keffer Hartline,North America,Medicine
George Porter,Chemistry,Chemistry
George Porter,Europe,Chemistry
Manfred Eigen,Chemistry,Chemistry
Manfred Eigen,Europe,Chemistry
George Wald,Medicine,Medicine
George Wald,North America,Medicine
Yasunari Kawabata,Literature,Literature
Yasunari Kawabata,,Literature
Marshall W. Nirenberg,Medicine,Medicine
Marshall W. Nirenberg,North America,Medicine
René Cassin,Peace,Peace
René Cassin,,Peace
Lars Onsager,Chemistry,Chemistry
Lars Onsager,North America,Chemistry
H. Gobind Khorana,Medicine,Medicine
H. Gobind Khorana,North America,Medicine
Robert W. Holley,Medicine,Medicine
Robert W. Holley,North America,Medicine
Luis Alvarez,Physics,Physics
Luis Alvarez,North America,Physics
Samuel Beckett,Literature,Literature
Samuel Beckett,,Literature
Ragnar Frisch,Economic Sciences,Economic Sciences
Ragnar Frisch,Europe,Economic Sciences
Salvador E. Luria,Medicine,Medicine
Salvador E. Luria,North America,Medicine
Murray Gell-Mann,Physics,Physics
